Categorie,Aliments,Mesure,Poids (g),Énergie (kcal),Énergie (kJ),Protéines (g),Glucides (g),Sucres totaux (g),Fibres alimentaires totales (g),Gras totaux (g),Gras saturés (g),Gras monoinsaturés (g),Gras polyinsaturés (g),DHA (g),EPA (g),Gras trans (g),Cholestérol (mg),Calcium (mg),Fer (mg),Sodium (mg),Potassium (mg),Magnésium (mg),Phosphore (mg),Thiamine (mg),Riboflavine (mg),Niacine (ÉN),Vitamine A (ÉAR),Bêta-carotène (mcg),Lycopène (mcg),Vitamine C (mg),Vitamine D (mcg),Vitamine E (mg),Folates (ÉFA),Vitamine B12 (mcg),Alcool (g),Caféine (mg)
Légumes et produits à base de légumes,"Cocktail de tomate et de palourdes",125mL,128,61,257,1,14,4,0.5,tr,,,,,,,10,0.2,462,114,6,14,9,163,3807,,10,6,0.04,,,
Produits laitiers et produits annexes,"Parmesan, râpé",15mL,6,27,114,2,tr,tr,2,1.1,,,,,,,6,70,0.1,97,8,2,46,8,tr,,,1,0.14,0.03,,,
Produits laitiers et produits annexes,"Préparation de fromage fondu à tartiner (Cheez WhizMC)",30mL,31,90,375,5,3,N/D,7,4.1,,,,,,,17,174,0.1,503,75,9,271,N/D,0.1,,,2,0.12,0.13,,,
Produits laitiers et produits annexes,"Préparation de fromage fondu à tartiner, léger (Cheez Whiz Légermc)",30mL,31,69,287,6,4,3,3,2.2,,,,,,,13,178,tr,491,107,9,317,91,N/D,,,N/D,N/D,0.20,,,
Produits laitiers et produits annexes,"Préparation de fromage fondu, tranches minces",1,21,78,327,5,tr,tr,7,4.1,,,,,,,20,115,tr,310,35,6,107,53,tr,,,2,0.15,0.07,,,
Produits laitiers et produits annexes,"Préparation de fromage fondu, tranches minces, léger",1,21,50,209,4,2,2,3,1.8,,,,,,,11,110,tr,331,69,7,173,53,tr,,,4,0.23,0.10,,,
Produits laitiers et produits annexes,"Ricotta, partiellement écrémé",125mL,131,181,756,15,7,tr,10,6.5,,,,,,,41,356,0.6,164,164,20,240,140,N/D,,,17,0.38,0.24,,,
Produits laitiers et produits annexes,"Romano, râpé",15mL,6,25,103,2,tr,tr,2,1.1,,,,,,,7,67,tr,76,5,3,48,6,tr,,,tr,0.07,0.02,,,
Produits laitiers et produits annexes,"Suisse (Emmental)",50g,50,190,795,13,3,1,14,8.9,,,,,,,46,396,0.1,96,39,19,284,110,0.6,,,3,1.67,0.15,,,
Produits laitiers et produits annexes,"Suisse fondu, tranches minces",1,21,70,291,5,tr,tr,5,3.3,,,,,,,18,161,0.1,285,45,6,159,41,0.2,,,1,0.26,0.06,,,
Produits laitiers et produits annexes,"Crème à fouetter, 35% M.G., non fouettée",15mL,15,49,207,tr,tr,tr,5,3.3,,,,,,,19,10,tr,5,12,1,9,62,0.1,,,1,0.03,0.02,,,
Produits laitiers et produits annexes,"Crème à fouetter, 35% M.G., sucrée, fouettée",60mL,30,100,419,1,3,2,10,6.2,,,,,,,36,19,tr,10,23,2,17,117,0.2,,,1,0.05,0.03,,,
Produits laitiers et produits annexes,"Crème fouettée, en aérosol",60mL,15,39,164,tr,2,1,3,2.1,,,,,,,12,15,tr,20,22,2,14,29,0.1,,,tr,0.04,0.01,,,
Produits laitiers et produits annexes,"Crème sure légère, 5% M.G.",15mL,16,21,89,1,1,tr,2,1.0,,,,,,,6,22,tr,11,33,2,11,14,N/D,,,2,0.07,0.02,,,
Produits laitiers et produits annexes,"Crème sure, 14% M.G.",15mL,15,22,93,tr,1,tr,2,1.3,,,,,,,6,16,tr,6,19,1,14,17,0.1,,,2,0.04,0.02,,,
Produits laitiers et produits annexes,"De table, 18% M.G.",15mL,15,28,118,tr,1,tr,3,1.7,,,,,,,9,15,tr,6,19,1,13,25,0.1,,,tr,0.04,0.02,,,
Produits laitiers et produits annexes,"Moitié-moitié, 10% M.G.",15mL,15,18,76,tr,1,tr,2,1.0,,,,,,,5,16,tr,6,20,2,15,15,tr,,,tr,0.05,0.02,,,
Produits laitiers et produits annexes,"Colorant à café, en poudre",5mL,2,11,45,tr,1,1,1,0.6,,,,,,,0,tr,tr,4,16,tr,8,tr,,,0,0,,tr,,,
Produits laitiers et produits annexes,"Colorant à café, en poudre, léger",5mL,2,9,36,tr,1,1,tr,0.1,,,,,,,0,tr,tr,5,18,0,3,tr,,,0,0,,tr,,,
Produits laitiers et produits annexes,"Colorant à café, liquide, congelé",15mL,15,21,87,tr,2,2,2,0.3,,,,,,,0,1,tr,12,29,0,10,tr,,,0,0,,0,,,
Produits laitiers et produits annexes,"Garniture à dessert congelée",60mL,19,60,253,tr,4,4,5,4.1,,,,,,,0,1,tr,5,3,tr,2,1,,,0,0,,0,,,
Produits laitiers et produits annexes,"Garniture à dessert congelée, peu de gras",60mL,19,42,175,1,4,2,2,2.1,,,,,,,tr,14,tr,14,19,1,14,1,N/D,,,0.04,0.02,,,
Produits laitiers et produits annexes,"Garniture à dessert en aérosol",60mL,18,47,198,tr,3,3,4,3.4,,,,,,,0,1,tr,11,3,tr,1,0,,,0,0,,0,,,
Produits laitiers et produits annexes,"Garniture à dessert en poudre, préparée avec lait 2%",60mL,20,37,153,1,3,3,2,2.0,,,,,,,1,19,tr,12,31,2,18,9,0.2,,,1,0.07,0.03,,,
Produits laitiers et produits annexes,"Chocolat, prêt-à-manger",1 unité,99,138,575,3,23,18,4,0.7,,,,,,,3,89,0.5,128,178,21,79,10,N/D,,,3,0,0.15,,,
Produits laitiers et produits annexes,"Chocolat, prêt-à-manger, sans gras",1 unité,96,96,402,3,20,15,tr,0.2,,,,,,,1,72,0.8,168,139,19,75,47,N/D,,,4,0.22,0.15,,,
Produits laitiers et produits annexes,"Riz, maison",125mL,119,160,669,4,32,19,2,1.2,,,,,,,7,115,0.3,55,211,18,112,51,1.0,,,5,0.24,0.19,,,
Produits laitiers et produits annexes,"Riz, prêt-à-manger",1 unité,99,161,675,2,22,N/D,7,1.2,,,,,,,1,51,0.3,84,59,8,67,25,0.1,,,3,0.21,0.07,,,
Produits laitiers et produits annexes,"Tapioca, prêt-à-manger",1 unité,99,118,493,2,19,18,4,0.6,,,,,,,1,83,0.2,157,95,8,78,0,N/D,,,3,0.21,0.10,,,
Produits laitiers et produits annexes,"Tapioca, prêt-à-manger, sans gras",1 unité,98,88,368,2,20,16,tr,,,,,,,,,0,50,0.3,210,52,5,40,32,N/D,,,2,0.15,0.10,,,
Produits laitiers et produits annexes,"Toutes saveurs, instantané, préparé avec lait 2%",125mL,139,149,622,4,27,23,3,1.6,,,,,,,9,141,0.2,391,206,18,307,65,1.3,,,6,0.54,0.23,,,
Produits laitiers et produits annexes,"Vanille, prêt-à-manger",1 unité,99,128,534,2,22,20,4,0.6,,,,,,,7,87,0.1,134,112,8,67,6,N/D,,,0,0.10,0.14,,,
Produits laitiers et produits annexes,"Vanille, prêt-à-manger, sans gras",1 unité,99,92,385,2,22,16,tr,tr,,,,,,,1,59,0.4,211,71,7,49,40,N/D,,,3,0.19,0.12,,,
Oeufs et plats à base d'œufs,"Blanc d'oeuf cuit",1 gros,33,16,66,3,tr,0,0,,,0,,,,0,3,tr,106,3,4,,,0,0.01,,0,,,
Oeufs et plats à base d'œufs,"Jaune d'oeuf cuit",1 gros,17,59,249,3,1,6,1.7,2.3,0.8,,,202,22,0.7,34,1,64,106,0.8,,,30,0.88,1.4,,,
Oeufs et plats à base d'œufs,"Oeuf cuit dur (à la coque)",1 gros,50,78,324,6,1,5,1.6,2.0,0.7,,,216,25,0.6,62,5,86,85,0.7,,,22,0.56,0.5,,,
Oeufs et plats à base d'œufs,"Oeuf poché",1 gros,50,74,308,6,tr,5,1.5,1.9,0.7,,,215,27,0.9,147,6,95,70,0.4,,,24,0.64,0.5,,,
Oeufs et plats à base d'œufs,"Oeuf frit",2 gros,92,173,726,12,2,14,3.6,5.8,2.7,,,367,46,1.4,322,9,127,236,1.9,,,54,1.62,2.7,,,
Oeufs et plats à base d'œufs,"Oeufs bénédictine",2 oeufs,310,572,2393,34,30,35,12.5,14.2,4.9,,,458,189,4.0,2015,40,453,265,2.1,,,113,1.96,1.7,,,
Oeufs et plats à base d'œufs,"Oeufs brouillés, faits avec 2 oeufs",2 oeufs,124,189,792,13,4,14,4.1,5.9,2.7,,,363,90,1.4,476,13,160,253,2.3,,,55,1.73,2.6,,,
Oeufs et plats à base d'œufs,"Omelette au fromage, faite avec 2 oeufs",1 omelette,150,273,1142,18,5,20,8.0,7.8,2.8,,,376,238,1.6,890,21,356,304,2.3,,,56,1.99,2.6,,,
Oeufs et plats à base d'œufs,"Omelette espagnole (champignons, oignons, poivrons verts, tomates)",1 omelette,290,319,1336,15,13,24,5.7,10.4,6.3,,,353,111,1.8,607,30,211,403,4.3,,,72,1.70,3.7,,,
Oeufs et plats à base d'œufs,"Omelette western (poivrons verts, jambon, oignons)",1 omelette,158,237,993,17,5,17,5.1,7.3,2.9,,,346,86,1.5,720,18,202,231,2.2,,,53,1.72,2.5,,,
Oeufs et plats à base d'œufs,"Succédané d'oeuf (jaunes remplacés), congelé, cuit",2 oeufs,111,226,947,14,4,17,2.9,4.6,8.8,,,2,89,2.4,291,18,88,60,1.9,,,14,0.35,2.2,,,
Poissons et crustacés,"Aiglefin, au four ou grillé",75g,75,84,351,18,0,1,0.2,,,,0.12,0.06,,56,32,1.0,65,298,181,14,0.2,,,1,0.4,0.2,,,
Poissons et crustacés,"Anchois, en conserve dans l'huile, égouttés",2,8,17,70,2,0,1,0.2,,,0.2,0.10,,7,19,0.4,392,20,1,0.1,0.07,0.3,,,
Poissons et crustacés,"Bar (achigan), espèces diverses, au four ou grillé",75g,75,110,458,18,0,4,0.8,,,0.34,0.23,,65,77,1.4,68,342,192,26,N/D,,,1.73,N/D,,,
Poissons et crustacés,"Barbue de rivière à élevage, au four ou grillé",75g,75,114,477,14,0,6,1.3,,,1.0,0.10,,48,7,0.6,60,241,184,11,N/D,,,2.10,1.0,,,
Poissons et crustacés,"Cisco (hareng de lac), au four ou grillé",75g,75,98,408,17,0,3,,,,,,,N/D,N/D,N/D,38,0.5,38,312,188,,N/D,,,N/D,N/D,,,
Poissons et crustacés,"Cisco (hareng de lac), cru",90g,90,88,369,17,0,2,1.1,,,1.2,0.46,0.11,,45,10,0.4,50,319,137,27,N/D,,,0.90,N/D,,,
Poissons et crustacés,"Corégone de lac, autochtone, au four",75g,75,100,417,17,0,3,,,,0.90,0.30,,58,12,0.3,33,294,168,8,11.3,,,0.72,N/D,,,
Poissons et crustacés,"Doré (jaune), au four ou grillé",75g,75,89,374,18,0,1,0.2,,,0.4,0.22,0.08,,83,106,1.3,49,374,202,18,3.5,,,1.73,N/D,,,
Poissons et crustacés,"Éperlan, pané et frit",5,80,201,840,17,10,10,2.5,,,2.7,N/D,N/D,,79,31,1.0,N/D,332,246,20,N/D,,,N/D,N/D,,,
Poissons et crustacés,"Flétan de l'Atlantique ou Pacifique, au four ou grillé",75g,75,105,439,20,0,2,,,,0.3,0.28,0.07,,79,31,1.0,N/D,332,246,20,N/D,,,3.6,1.03,,,
Poissons et crustacés,"Gefiltefish",75g,75,63,263,7,6,1,,,,0.2,0.03,0.06,,31,23,0.8,17,92,432,41,3.6,,,0.63,N/D,,,
Poissons et crustacés,"Goberge de l'Atlantique, au four ou grillé",75g,75,89,370,19,0,1,0.1,,,0.3,0.5,0.07,,68,58,0.4,83,342,212,9,1.4,,,2.76,0.2,,,
Poissons et crustacés,"Grand brochet, au four ou grillé",75g,75,71,298,16,0,1,0.2,,,0.2,0.08,0.08,,38,33,0.3,23,323,180,1,2.4,,,1.73,0.2,,,
Poissons et crustacés,"Hareng de l'Atlantique, fumé et salé",75g,75,163,680,18,0,9,2.1,,,2.2,0.88,0.73,,62,63,1.1,688,335,244,30,1.6,,,14.00,1.2,,,
Poissons et crustacés,"Lotte (loche), crue",90g,90,71,297,16,0,1,0.1,,,0.3,0.09,0.06,,54,22,0.3,63,288,171,5,0.5,,,0.72,N/D,,,
Poissons et crustacés,"Maquereau bleu de l'Atlantique, au four ou grillé",75g,75,197,822,18,0,13,3.1,,,3.2,0.52,0.38,,56,11,1.2,62,301,209,41,2.0,,,14.25,1.5,,,
Poissons et crustacés,"Morue de l'Atlantique, au four ou grillé",75g,75,79,329,17,0,1,0.1,,,0.2,0.12,tr,,41,11,0.4,59,183,104,11,0.5,,,0.79,0.6,,,
Poissons et crustacés,"Morue de l'Atlantique, déshydratée et salée, trempée dans l'eau",75g,75,62,259,13,0,1,0.1,,,0.2,0.09,tr,,32,35,0.5,1353,265,183,9,0.5,,,1.82,0.6,,,
Poissons et crustacés,"Omble chevalier, cuit",75g,75,119,496,20,0,4,,,,0.30,0.38,,N/D,23,0.4,38,N/D,N/D,188,68,2.8,,,N/D,N/D,,,
Poissons et crustacés,"Ombre, au four ou grillé",75g,75,80,332,17,0,1,N/D,,,,,,,N/D,N/D,29,0.5,N/D,N/D,N/D,N/D,N/D,2.5,,,N/D,N/D,,,
Poissons et crustacés,"Sardines de l'Atlantique, en conserve dans l'huile, égouttées avec arêtes",1 boîte,106,220,922,26,0,12,1.6,,,5.5,0.54,0.50,,151,405,3.1,535,421,519,34,2.5,,,9.48,2.2,,,
Poissons et crustacés,"Sardines du Pacifique, en conserve dans de la sauce tomate, égouttées avec arêtes",1 boîte,106,197,825,22,1,11,2.8,,,2.2,0.92,0.56,,65,434,2.4,439,361,388,36,12.7,,,9.54,1.5,,,
Poissons et crustacés,"Saumon coho d'élevage, au four ou grillé",75g,75,134,558,18,0,6,1.5,,,1.5,0.65,0.31,,47,9,0.3,39,345,249,44,N/D,,,2.38,0.7,,,
Poissons et crustacés,"Saumon de l'Atlantique d'élevage, au four ou grillé",75g,75,155,646,17,0,9,1.9,,,3.3,1.09,0.52,,47,11,0.3,46,289,189,11,5.1,,,2.10,N/D,,,
Poissons et crustacés,"Saumon fumé",2 morceaux,40,47,196,7,0,2,0.4,,,0.4,0.11,0.07,,9,4,0.3,314,70,66,10,4.2,,,1.30,0.5,,,
Poissons et crustacés,"Saumon fumé, lox",2 morceaux,40,47,196,7,0,2,0.4,,,0.4,0.11,0.07,,9,4,0.3,800,70,66,10,4.2,,,1.30,N/D,,,
Poissons et crustacés,"Saumon keta, au four ou grillé",75g,75,116,483,19,0,4,0.8,,,0.9,0.38,0.22,,71,11,0.5,48,413,272,26,14.0,,,2.60,1.1,,,
Poissons et crustacés,"Saumon keta, en conserve, égoutté, avec arêtes, sans sel",75g,75,106,443,16,0,4,1.1,,,1.1,0.53,0.35,,29,187,0.5,56,225,266,14,4.2,,,3.30,1.2,,,
Poissons et crustacés,"Saumon keta, en conserve, égoutté, avec arêtes, salé",75g,75,106,443,16,0,4,1.1,,,1.1,0.53,0.35,,29,187,0.5,365,225,266,14,5.0,,,3.30,1.2,,,
Poissons et crustacés,"Saumon rose, en conserve, égoutté, avec arêtes, salé",75g,75,102,427,17,0,4,0.6,,,1.1,0.52,0.27,,62,208,0.7,299,233,274,17,N/D,,,3.71,1.0,,,
Poissons et crustacés,"Saumon sockeye, au four ou grillé",75g,75,162,677,20,0,8,1.4,,,1.8,0.53,0.40,,55,5,0.4,50,281,207,47,17.0,,,4.35,2.3,,,
Poissons et crustacés,"Saumon, oeufs, crus",90g,90,116,485,24,0,9,2.1,,,2.3,1.17,0.99,,N/D,11,0.6,45,369,198,N/D,N/D,,,N/D,N/D,,,
Poissons et crustacés,"Saumon, royal ou quinnat, fumé, conserve",75g,75,113,470,17,1,4,,,,,,,N/D,N/D,N/D,1.4,N/D,N/D,N/D,72,N/D,,,N/D,N/D,,,
Poissons et crustacés,"Sébaste de l'Atlantique, au four ou grillé",75g,75,91,380,18,0,2,0.2,,,0.4,0.20,0.08,,41,103,0.9,72,263,208,11,1.2,,,0.86,1.2,,,
Poissons et crustacés,"Sole (poisson plat), au four ou grillé",75g,75,88,367,18,0,1,,,,0.5,0.19,0.18,,51,14,0.3,79,258,217,10,1.1,,,1.88,0.5,,,
Poissons et crustacés,"Thon, chair pâle, en conserve dans l'eau, égoutté, salé",75g,75,87,364,19,0,1,0.2,,,0.3,0.17,0.04,,23,8,1.1,254,178,122,13,0.9,,,2.24,0.3,,,
Poissons et crustacés,"Thon, chair pâle, en conserve dans l'huile, égoutté, salé",75g,75,149,621,22,0,6,1.2,,,2.2,0.08,0.02,,14,10,1.0,386,155,233,17,0.7,,,1.65,0.7,,,
Poissons et crustacés,"Truite arc-en-ciel d'élevage, au four ou grillée",75g,75,127,530,18,0,5,,,,1.7,0.62,0.25,,51,65,0.2,32,331,200,65,4.8,,,3.73,0,,,
Poissons et crustacés,"Turbot, au four ou grillé",75g,75,92,383,15,0,3,N/D,,,N/D,N/D,N/D,,47,17,0.3,144,229,124,9,N/D,,,1.91,0,,,
Poissons et crustacés,"Vivaneau, espèces diverses, au four ou grillé",75g,75,96,401,20,0,1,0.3,,,0.4,0.20,0.04,,35,30,0.2,43,392,151,26,2.2,,,2.63,0.5,,,
Poissons et crustacés,"Crabe des neiges, bouilli ou cuit à la vapeur",125mL,62,72,300,15,0,1,0.1,,,0.3,0.09,0.21,,44,21,1.8,431,125,80,32,N/D,,,6.47,N/D,,,
Poissons et crustacés,"Crabe, en conserve, égoutté",125mL,71,71,295,15,0,1,0.2,,,0.3,0.12,0.14,,63,72,0.6,238,267,185,1,N/D,,,0.33,1.3,,,
Poissons et crustacés,"Crevettes, bouillies ou cuites à la vapeur",6 moyennes,30,30,124,6,0,tr,0.1,,,0.1,0.04,0.05,,59,12,0.9,67,55,41,20,N/D,,,0.45,0.4,,,
Poissons et crustacés,"Écrevisse d'élevage, espèces diverses, bouillies ou cuites à la vapeur",4 moyennes,60,52,218,11,0,1,0.1,,,0.4,N/D,0.02,,82,31,0.7,58,143,145,9,N/D,,,1.86,N/D,,,
Poissons et crustacés,"Homard, bouilli ou cuit à la vapeur",125mL,77,75,314,16,1,tr,0.1,,,0.1,0.02,0.04,,55,47,0.3,291,270,142,20,N/D,,,2.38,0.8,,,
Poissons et crustacés,"Huîtres, bouillies ou cuites à la vapeur",6 moyennes,42,58,241,6,3,2,0.6,,,0.8,0.25,0.23,,44,38,5.0,177,118,85,23,3.4,,,14.71,0.7,,,
Poissons et crustacés,"Huîtres, crues",6 moyennes,84,50,207,4,5,1,0.4,,,0.5,0.17,0.16,,21,37,4.9,150,104,78,7,N/D,,,13.61,0.5,,,
Poissons et crustacés,"Huîtres, en conserve, chair et liquide",125mL,131,90,379,9,5,3,0.8,,,1.0,0.30,0.28,,72,59,8.8,147,300,182,118,N/D,,,25.06,1.1,,,
Poissons et crustacés,"Moule, bouillies ou cuites à la vapeur",15 petites,75,129,539,18,6,3,0.6,,,0.9,0.38,0.21,,42,25,5.0,277,201,214,68,0.2,,,18.00,0.8,,,
Poissons et crustacés,"Palourdes, espèces diverses, bouillies ou cuites à la vapeur",5 grosses,60,89,371,15,3,1,0.1,,,0.3,0.09,0.08,,40,55,16.8,67,377,203,103,0.1,,,59.33,0.4,,,
Poissons et crustacés,"Palourdes, espèces diverses, en conserve, égouttées",125mL,85,125,523,22,4,2,0.2,,,0.5,0.12,0.12,,57,78,23.6,95,531,286,153,0.1,,,83.59,0.5,,,
Poissons et crustacés,"Pétoncles, cuits à la vapeur",6 moyennes,78,87,365,18,0,1,0.1,,,0.4,0.16,0.13,,41,90,2.3,207,371,264,23,0,,,1.01,1.2,,,
Poissons et crustacés,"Bâtonnets de poisson, congelés, réchauffés (10cm x 2,5cm x 1,3cm)",3 bâtonnets,83,227,948,13,20,10,2.6,,,2.6,0.11,0.07,,93,17,0.6,485,217,151,26,0.1,,,1.50,0.4,,,
Poissons et crustacés,"Beignet (galette) de crabe",1,60,93,389,12,tr,5,0.9,,,1.4,0.13,0.14,,90,63,0.6,198,194,128,34,N/D,,,3.56,N/D,,,
Poissons et crustacés,"Beignet (galette) de poisson",1,120,240,1004,16,15,12,3.3,,,2.6,0.10,tr,,63,30,0.8,290,526,201,28,1.5,,,0.73,0.7,,,
Poissons et crustacés,"Calmars panés et frits",125mL,79,156,651,14,9,7,1.7,,,1.6,0.27,0.11,,197,45,1.0,303,216,194,17,0.1,,,1.02,1.0,,,
Poissons et crustacés,"Caviar, noir ou rouge",15mL,16,41,171,4,1,3,0.7,,,1.2,0.62,0.44,,95,45,1.9,243,29,58,91,0.5,,,3.25,1.1,,,
Poissons et crustacés,"Crevettes, panées et frites",6 moyennes,66,160,668,14,8,8,1.4,,,3.4,0.08,0.07,,117,44,0.8,227,149,144,N/D,N/D,,,1.23,N/D,,,
Poissons et crustacés,"Filet de poisson, dans une pâte à frire, frit",1,134,265,1108,22,9,15,3.6,,,3.4,0.14,0.08,,71,42,1.0,133,508,266,23,0.8,,,1.02,1.0,,,
Poissons et crustacés,"Salade de thon",125mL,108,203,847,17,10,10,1.7,,,4.5,0.06,0.02,,14,18,1.1,435,193,193,26,3.6,,,1.30,N/D,,,
Poissons et crustacés,"Simili-crabe, à base de surimi",125mL,67,68,284,8,7,1,0.2,,,0.4,0.24,0.16,,13,9,0.3,560,60,188,13,1.2,,,1.07,0.1,,,
Viande et volaille,"Aloyau, bœuf, maigre et gras, grillé",75g,75,216,903,22,0,13,5.6,,,6.6,0.4,2.1,54,51,2.1,243,19,152,0,0.5,1.89,,5,0.1,,,
Viande et volaille,"Boeuf à ragoût, maigre, mijoté",75g,75,183,765,28,0,7,,,,2.9,N/D,N/D,68,2.5,45,214,19,150,0,1.80,,4,0.2,,,
Viande et volaille,"Boeuf haché, extra maigre, émietté, sauté",75g,75,167,696,23,0,8,3.2,,,3.3,0.3,59,2.1,65,311,22,180,0,0.3,2.06,,5,N/D,,,
Viande et volaille,"Boeuf haché, maigre, émietté, sauté",75g,75,194,809,22,0,11,4.5,,,5.1,0.3,59,2.1,70,293,21,174,0,0.5,2.16,,0,N/D,,,
Viande et volaille,"Boeuf haché, mi-maigre, émietté, sauté",75g,75,214,894,22,0,13,5.6,,,6.0,0.4,61,2.0,88,303,21,173,0,0.6,1.88,,6,N/D,,,
Viande et volaille,"Boeuf haché, régulier, émietté, sauté",75g,75,243,1016,22,0,17,7.0,,,7.9,0.4,63,2.0,78,301,21,178,0,0.8,2.72,,0,N/D,,,
Viande et volaille,"Bout-de-côtes, maigre et gras, mijoté",75g,75,309,1292,17,0,26,11.2,,,11.8,1.0,57,1.4,29,146,10,86,0,1.7,1.97,,4,N/D,,,
Viande et volaille,"Contre-filet, bifteck, maigre et gras, grillé",75g,75,191,797,23,0,10,4.3,,,5.2,0.4,55,2.1,43,243,19,152,0,0.5,1.72,,5,0.3,,,
Viande et volaille,"Côte, bifteck, maigre et gras, grillé",75g,75,232,969,23,0,15,6.4,,,7.3,0.5,58,1.9,56,243,19,152,0,0.5,1.80,,5,0.5,,,
Viande et volaille,"Côte, rôti, maigre et gras, rôti",75g,75,237,992,21,0,16,6.9,,,8.0,0.5,55,1.7,53,243,19,152,0,0.5,1.73,,5,0.5,,,
Viande et volaille,"Côtes croisées, rôti, maigre et gras, rôti",75g,75,197,825,27,0,9,3.6,,,4.5,0.5,70,2.6,52,242,21,164,0,0.5,1.89,,5,0.6,,,
Viande et volaille,"Coupes diverses, maigre et gras, cuites",75g,75,198,819,25,0,9,3.9,,,4.9,0.4,64,2.4,40,200,18,148,0,1.78,,4,0.1,,,
Viande et volaille,"Croupe, rôti, maigre et gras, rôti",75g,75,164,684,21,0,8,3.2,,,3.6,0.3,59,1.9,47,296,20,180,0,0.3,2.27,,7,N/D,,,
Viande et volaille,"Extérieur de ronde, bifteck, maigre et gras, braisé",75g,75,195,815,29,0,8,3.0,,,4.2,0.4,72,3.1,43,243,19,152,0,0.5,1.41,,5,0.3,,,
Viande et volaille,"Extérieur de ronde, rôti, maigre et gras, rôti",75g,75,158,659,25,0,5,2.1,,,2.8,0.3,58,2.9,42,243,19,152,0,0.5,1.67,,5,0.2,,,
Viande et volaille,"Faux filet, bifteck, maigre et gras, grillé",75g,75,230,963,20,0,16,6.7,,,8.0,0.5,53,2.4,40,243,19,152,0,0.5,1.54,,5,0.8,,,
Viande et volaille,"Flanc, bifteck, maigre et gras, braisé",75g,75,184,799,25,0,8,3.6,,,4.1,0.3,54,2.2,45,243,19,152,0,0.5,2.15,,5,0.3,,,
Viande et volaille,"Haut de surlonge, bifteck, maigre et gras, grillé",75g,75,146,611,21,0,6,,,,2.6,0.3,52,2.0,43,257,20,160,0,0.5,2.33,,5,0.2,,,
Viande et volaille,"Intérieur de ronde, bifteck, maigre et gras, braisé",75g,75,175,731,30,0,5,2.1,,,2.6,0.3,68,2.4,38,204,20,157,0,0.5,1.43,,5,0.4,,,
Viande et volaille,"Intérieur de ronde, rôti, maigre et gras, rôti",75g,75,133,555,24,0,3,,,,1.4,0.2,53,2.1,48,253,20,163,0,0.5,1.68,,5,0.1,,,
Viande et volaille,"Longe, filet, maigre et gras, rôti",75g,75,170,709,24,0,7,,,,3.2,0.3,59,2.9,50,243,19,152,0,0.5,2.04,,5,0.2,,,
Viande et volaille,"Noix de ronde, bifteck, maigre et gras, braisé",75g,75,171,715,28,0,5,2.2,,,2.8,0.3,61,1.8,35,243,19,152,0,0.5,1.38,,5,0.2,,,
Viande et volaille,"Noix de ronde, rôti, maigre et gras, rôti",75g,75,148,618,24,0,5,2.1,,,2.5,0.2,50,1.5,40,243,19,152,0,0.5,1.44,,5,0.2,,,
Viande et volaille,"Palette, bifteck, maigre et gras, braisé",75g,75,227,947,23,0,14,5.7,,,7.1,0.5,71,2.4,49,178,17,138,0,0.5,2.00,,4,0.2,,,
Viande et volaille,"Palette, rôti, maigre et gras, braisé",75g,75,200,834,26,0,10,4.0,5.0,0.4,,,71,2.5,46,202,18,142,,0,0.5,2.38,4,0.1,,,
Viande et volaille,"Pointe de surlonge, rôti, maigre et gras, rôti",75g,75,156,653,25,0,5,2.2,2.8,0.3,,,58,2.7,44,243,19,152,,0,0.5,1.85,5,0.1,,,
Viande et volaille,"Coupes diverses, maigre et gras, cuites",75g,75,173,725,23,0,9,3.2,3.3,0.6,,,86,0.9,65,244,20,179,,0,1.1,1.18,11,0.3,,,
Viande et volaille,"Cuisseau de veau, maigre et gras, pané, sauté",75g,75,171,715,20,7,7,2.3,2.5,1.1,,,84,1.2,341,278,23,188,8,0.9,0.93,24,0.4,,,
Viande et volaille,"Cuisseau de veau, maigre et gras, rôti",75g,75,120,502,21,0,3,1.4,1.3,0.3,,,77,0.7,51,292,21,176,,0,0.5,0.88,12,0.4,,,
Viande et volaille,"Épaule, maigre et gras, rôtie",75g,75,142,593,23,0,5,2.2,1.8,0.3,,,65,0.7,56,266,17,140,,0,0.7,2.50,N/D,0.4,,,
Viande et volaille,"Escalope de veau de grain, sautée",75g,75,136,568,27,0,2,0.7,0.8,0.6,,,78,1.5,33,266,21,171,,0,0.5,2.46,N/D,0.3,,,
Viande et volaille,"Escalope de veau de lait, sautée",75g,75,142,593,28,0,2,0.6,0.8,1.0,,,78,0.5,58,332,16,218,,0,0.5,1.27,12,0.3,,,
Viande et volaille,"Longe, maigre et gras, rôtie",75g,75,163,680,19,0,9,3.9,3.6,0.6,,,77,0.7,70,244,19,159,,0,1.3,0.93,11,0.3,,,
Viande et volaille,"Veau à ragoût, maigre, braisé",75g,75,141,590,26,0,3,1.0,1.0,0.3,,,109,1.1,70,257,21,179,,0,0.7,1.25,12,0.3,,,
Viande et volaille,"Veau haché, grillé",75g,75,129,539,18,0,6,2.3,2.1,0.4,,,77,0.7,62,253,18,163,,0,0.8,0.95,8,0.1,,,
Viande et volaille,"Côtelette, longe, coupe du milieu, maigre et gras, grillée",75g,75,180,753,22,0,10,3.6,4.4,0.7,,,62,0.6,44,269,19,174,2,0.4,0.55,5,0.1,,,
